Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2016-08-04,393.66900634765625,396.9961764186748,383.9285378322862,395.4049186080815,1763216
2016-08-05,401.6253967285156,403.26486317213386,390.10077611889113,395.40498939121227,1055018
2016-08-08,404.7596740722656,407.1706799234675,400.2269712995165,405.0489830019203,616890
2016-08-09,405.14544677734375,406.7367048222349,390.58296491524635,390.58296491524635,813302
2016-08-10,389.57037353515625,405.14546689997434,388.02732376026074,405.14546689997434,915542
2016-08-11,386.09844970703125,391.4991082357044,384.26609130388,390.39002209451434,1784058
2016-08-12,387.6416015625,393.28333271405006,385.3752497725186,386.9182996783291,1055193
2016-08-16,390.1489562988281,393.3797100358674,378.5279198318927,387.83439656062313,985377
2016-08-17,390.2453918457031,395.3085040120017,386.82177539145715,390.4382840816704,902574
2016-08-18,383.97686767578125,393.283346355336,382.9642567753105,390.58303099992725,745822
2016-08-19,387.68975830078125,388.99170740520054,380.11919370144886,385.7609535331157,1115131
2016-08-22,388.6059265136719,392.0295429762768,384.9411800399076,388.17193369729745,618307
2016-08-23,392.2706604003906,392.993962171258,387.30399412667975,388.65415154605387,1353924
2016-08-24,389.7632141113281,395.74252061098605,387.3039998266764,392.4153206435397,568052
2016-08-25,381.035400390625,393.5726317967423,378.04574701522876,391.0169712809713,1667694
2016-08-26,391.3062744140625,392.801086363918,383.88036414991905,384.21791087669385,586830
2016-08-29,388.8470153808594,391.40267556495763,386.0020168508192,391.30622944964364,232134
2016-08-30,393.0904235839844,395.8871846538812,387.78621039130144,389.57036071508537,866952
2016-08-31,403.60235595703125,405.2900599544621,393.47613197244624,393.47613197244624,1679311
2016-09-01,398.78033447265625,409.09945042617846,396.6104293878594,404.08454690215956,771295
2016-09-02,403.45770263671875,405.14540663890193,400.22694908915224,400.99845914623285,653097
2016-09-06,421.8778076171875,424.33702176629834,404.0845730001796,404.22922746226436,1339453
2016-09-07,410.1603088378906,428.6768457825395,408.23150413245736,428.19464460618116,1104546
2016-09-08,417.4416198730469,419.4186331870127,408.27979630166044,410.2568096156263,990006
2016-09-09,408.8584289550781,418.74355403143505,407.0742785428561,418.74355403143505,975257
2016-09-12,396.65863037109375,405.04894164917204,395.40491922895364,405.04894164917204,994629
2016-09-14,399.7929382324219,403.1201377446688,391.54731082376924,399.26252877103565,1555042
2016-09-15,391.9331359863281,403.02376377061603,390.0043311542781,403.02376377061603,1551475
2016-09-16,393.0904235839844,396.1764936009919,388.84705891608314,393.9583798565419,1324334
2016-09-19,388.5094909667969,394.9227606813605,387.20754191347066,391.54735247040867,860013
2016-09-20,388.5094909667969,392.0295536434018,385.471629463185,386.7253407404776,515849
2016-09-21,391.98138427734375,395.30855504311677,387.9308822489288,391.2580824459287,1052732
2016-09-22,399.6483459472656,402.15579805640436,394.00658605950986,395.2603268296919,1140943
2016-09-23,394.4405822753906,404.08460629190387,392.80108642009316,399.2625942836472,834603
2016-09-26,390.34185791015625,396.2247182330953,387.207550218475,393.95836678517315,555483
2016-09-27,390.9205017089844,392.2706591239652,387.68974792337804,387.68974792337804,599703
2016-09-28,395.11566162109375,396.2729268030188,387.6897516210368,390.5829587226863,1071066
2016-09-29,379.15478515625,399.21437207273345,377.129534296867,398.29817805049066,1437151
2016-09-30,381.035400390625,384.98945618187645,369.55901752819364,379.05835777938626,1517886
2016-10-03,392.12603759765625,394.00660469503737,381.03540954875996,383.83217073571456,1133074
2016-10-04,392.0777282714844,393.66901555049805,386.33955246505514,392.8492677406592,784343
2016-10-05,391.4508972167969,394.2958958435704,386.4360227934027,392.2224367343198,734681
2016-10-06,384.65185546875,394.34408661541426,381.0353469168272,392.02952702842805,903119
2016-10-07,381.22821044921875,386.677106889599,378.33500360210235,385.664466834375,1412940
2016-10-10,389.3292541503906,394.0548199452249,380.9389416380251,381.2282505807032,1317724
2016-10-13,374.38104248046875,389.6667977523893,371.7771440956349,389.1363881779214,4769967
2016-10-14,371.5360412597656,378.4315128427151,366.61758291297565,378.4315128427151,3113531
2016-10-17,372.3557434082031,375.15250426325264,366.76219226688085,371.53599554606194,1651931
2016-10-18,376.21337890625,376.98488904715646,371.29492082210174,376.0204866554107,864701
2016-10-19,374.57391357421875,379.3477175746432,372.211145180746,377.17781201649166,1428598
2016-10-20,375.7311706542969,379.9745352120443,373.85057425321946,375.05607722026275,1130359
2016-10-21,365.89422607421875,378.91365710075075,363.7243209031301,376.2133424381072,997847
