Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-08-05,1857.7652587890625,1860.7807624258626,1813.9773220997204,1817.5297669192068,3039682
2019-08-06,1829.922607421875,1860.5328945436215,1827.0723008968555,1844.7114846498073,2885467
2019-08-07,1828.724365234375,1849.4203988709385,1823.6020439615272,1842.3978063355785,2165362
2019-08-08,1865.61376953125,1884.5333795068059,1833.2270634595302,1841.4889371092752,2073298
2019-08-09,1855.8236083984375,1873.710486479262,1851.7753704692766,1867.1836861348777,1744550
2019-08-13,1817.157958984375,1855.8235722498978,1812.9031742701552,1854.7908379303376,1647281
2019-08-14,1821.24755859375,1832.35994131045,1790.6786225325923,1801.9975521145702,1945002
2019-08-16,1788.7784423828125,1851.8163804119893,1770.7261667888254,1851.8163804119893,3755507
2019-08-19,1787.0433349609375,1806.0456450414283,1782.6645014272954,1801.0885206726048,974884
2019-08-20,1806.6654052734375,1821.7433262274744,1789.935109420328,1794.4791403927775,1843611
2019-08-21,1806.210693359375,1819.2644934629118,1802.9472937599633,1805.1779592009605,1214408
2019-08-22,1830.8310546875,1847.0655544314143,1792.8264389313515,1806.8716230151454,2131601
2019-08-23,1857.0218505859375,1867.1012990863662,1829.0966690277962,1829.9642063594556,2826425
2019-08-26,1880.6507568359375,1885.3599855208083,1838.2672952602097,1856.4434213257039,2345475
2019-08-27,1847.76806640625,1879.4524329579065,1841.5716610863094,1875.445343501984,3432106
2019-08-28,1850.040283203125,1860.69802083194,1830.8314246190132,1850.6599238026126,1294621
2019-08-29,1845.2484130859375,1857.4346785891053,1835.9538038038604,1835.9538038038604,1670652
2019-08-30,1866.8526611328125,1872.1401784832553,1832.483193237361,1851.4854986676855,2583625
2019-09-03,1860.243408203125,1897.091240815865,1848.1396432161112,1875.445173863986,2545060
2019-09-04,1855.1214599609375,1875.4457545472198,1844.8768149356572,1871.3148167618735,2228092
2019-09-05,1830.2532958984375,1861.9374670026295,1823.643795584955,1852.477660020146,2055943
2019-09-06,1815.5469970703125,1845.2897465103724,1811.4987590788983,1830.8314655325655,1890550
2019-09-09,1803.443603515625,1819.9673547842256,1800.9236911059738,1817.6126395460708,1703945
2019-09-11,1779.6080322265625,1813.4817227192686,1773.4529751489558,1806.046034562333,2627440
2019-09-12,1762.75390625,1788.696115651432,1751.8069207846968,1780.4342398285614,2118859
2019-09-13,1769.6522216796875,1782.8712212792739,1747.8409530227407,1763.9102590698024,2291174
2019-09-16,1776.3031005859375,1795.6358071378497,1756.8049951715525,1784.5236257567656,2597948
2019-09-17,1753.7069091796875,1781.7147879383128,1739.6205729225317,1780.3928071858443,2796530
2019-09-18,1766.843505859375,1770.4786505625489,1745.8582201100949,1756.8052056461431,1454663
2019-09-19,1736.6051025390625,1764.5716353666003,1727.5583880504373,1763.910644900853,1652691
2019-09-20,1706.44921875,1759.28387792653,1699.4679735411578,1739.0422807696227,6941979
2019-09-23,1665.4287109375,1734.167466803089,1631.7202224564558,1734.167466803089,6323401
2019-09-24,1689.3056640625,1702.7725616354496,1663.1155587443766,1664.767933864838,4620978
2019-09-25,1725.451416015625,1728.3844222741545,1701.9877693592937,1706.077357550731,4002232
