Price,Close,High,Low,Open,Volume
Ticker,KUSUMGAR.NS,KUSUMGAR.NS,KUSUMGAR.NS,KUSUMGAR.NS,KUSUMGAR.NS
Date,,,,,
2026-07-15,602.7999877929688,625.9000244140625,568.1500244140625,569.0,23809462
2026-07-16,588.7000122070312,629.2000122070312,585.0999755859375,618.0,4352403
2026-07-17,575.7000122070312,594.7000122070312,568.9500122070312,588.7000122070312,1211695
2026-07-20,565.7999877929688,572.2000122070312,555.0499877929688,570.0,1117280
2026-07-21,567.25,584.4000244140625,558.0,563.5,818641
2026-07-22,575.8499755859375,582.0,548.0,560.0,876117
2026-07-23,608.25,618.0499877929688,567.0999755859375,574.0,1996022
2026-07-24,601.3499755859375,613.2999877929688,588.75,602.2999877929688,735445
2026-07-27,575.2000122070312,623.9500122070312,573.0,609.0499877929688,1108662
2026-07-28,566.5499877929688,583.4500122070312,562.4000244140625,578.9500122070312,374541
2026-07-29,592.0999755859375,600.0,565.3499755859375,569.7000122070312,772831
2026-07-30,570.2000122070312,593.0,568.0,590.0,607183
2026-08-04,618.2999877929688,643.7999877929688,611.0,620.5999755859375,1111903
