Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2016-08-08,167.7248992919922,170.9458621570812,167.4229396724392,169.77155111769912,8739307
2016-08-09,166.18148803710938,167.75841513818318,165.14138265831508,167.75841513818318,9718838
2016-08-10,165.4098358154297,166.6847929666448,164.94011140177017,166.41638205412627,5457692
2016-08-11,168.8656463623047,169.6373303278604,165.44337030450626,165.74532989676604,11158153
2016-08-12,170.5096893310547,171.44913817844957,167.9597643406289,168.1275185061618,8603626
2016-08-16,171.18072509765625,173.1267201806735,170.07352209871584,170.61034392844297,10689714
2016-08-17,170.2412872314453,172.2879391977863,169.23474091909907,170.8116684374105,8649054
2016-08-18,169.20114135742188,171.38200890494295,168.7649763547196,170.7109711005515,6939437
2016-08-19,168.3959503173828,169.36894793046292,167.590706880056,169.10053699585566,5531361
2016-08-22,170.5096893310547,170.94586504834643,168.76500772889656,168.86566448161807,4345966
2016-08-23,168.6978759765625,171.11359516839573,167.959740738336,170.71097884759115,6694732
2016-08-24,167.9262237548828,169.10053487091434,167.15452903570286,168.56370237494068,5590189
2016-08-25,170.07350158691406,171.11359641494528,167.92619325997424,169.16760156662573,9884849
2016-08-26,170.3083953857422,171.04653076638303,169.1340842649477,170.00642511175005,4936367
2016-08-29,169.63734436035156,170.40903902324555,168.46303332997212,169.77154981618006,4437169
2016-08-30,172.656982421875,173.059609396564,169.805087429676,170.24126310775463,7989072
2016-08-31,174.50234985351562,175.4753474236034,172.0530709413079,173.32803877461498,13265582
2016-09-01,175.1398468017578,176.48191218959948,173.86487883488007,175.1398468017578,8695602
2016-09-02,176.4147491455078,176.95157084755414,174.63650864885128,175.81081941395482,9506919
2016-09-06,176.21348571777344,178.42789181764053,175.20693942392563,176.4818966449989,9519864
2016-09-07,176.34767150878906,177.7903933735629,175.81084971422374,177.15291483414066,6656556
2016-09-08,177.75686645507812,178.19304219174643,176.28059570559296,176.81741756594943,8645619
2016-09-09,173.32801818847656,177.45487019446236,172.48922617938564,176.4818727399373,10131678
2016-09-12,169.2682647705078,172.25436519440453,168.93274583782775,171.75109211213615,7627126
2016-09-14,168.99984741210938,169.83863939496703,167.45646888763096,168.42946631172546,13020551
2016-09-15,171.717529296875,173.05960500040834,169.43601548777275,169.43601548777275,8077776
2016-09-16,174.70364379882812,175.94506286171264,171.38203487422805,171.78465123776937,14578809
2016-09-19,173.6970977783203,176.21347397880902,173.2944814143036,175.47533866135964,6724348
2016-09-20,172.42213439941406,173.96551311770315,171.28138268889867,173.93196441155678,6944197
2016-09-21,170.20773315429688,173.66355835571656,169.7715574281695,172.2543850560786,9139238
2016-09-22,171.28138732910156,172.58990387280662,170.2748304159029,171.41559279082713,7988449
2016-09-23,170.07350158691406,172.45567209440992,168.96628808800546,171.11359641494528,5143011
2016-09-26,166.4499053955078,169.9392892605391,166.0808377886588,169.77152449065156,10060086
2016-09-27,164.97364807128906,167.25516192824995,164.40326694867298,166.85254558884628,6900812
2016-09-28,165.71177673339844,167.3558119956807,164.7387793101914,165.27561170815218,7646466
2016-09-29,164.87298583984375,167.28870506285915,161.71913136907398,166.48347241085605,18104875
2016-09-30,161.95399475097656,165.71177905534412,161.38361364312073,164.83943835912547,9912734
2016-10-03,162.59149169921875,163.86645950248916,162.0882185725477,163.86645950248916,6714964
2016-10-04,161.85337829589844,163.69871688826518,161.2829970460739,163.0612382169941,8002732
2016-10-05,161.18231201171875,163.22896377648823,160.5112847474113,162.25596626811455,6470467
2016-10-06,159.30343627929688,162.39018317993313,158.1291251920145,162.39018317993313,8986109
